Date,Close,Balance,apl30,Month
10/2/2019,54.740002,10154,53.88,Oct-19
10/3/2019,55.205002,10154,53.94,Oct-19
10/4/2019,56.752499,10154,54.07,Oct-19
10/7/2019,56.764999,10154,54.27,Oct-19
10/8/2019,56.099998,10154,54.42,Oct-19
10/9/2019,56.7575,10154,54.61,Oct-19
10/10/2019,57.522499,10154,54.81,Oct-19
10/11/2019,59.052502,10154,55.04,Oct-19
10/14/2019,58.967499,10154,55.27,Oct-19
10/15/2019,58.830002,10154,55.51,Oct-19
10/16/2019,58.592499,10154,55.72,Oct-19
10/17/2019,58.82,10154,55.91,Oct-19
10/18/2019,59.102501,10154,56.1,Oct-19
10/21/2019,60.127499,10154,56.32,Oct-19
10/22/2019,59.990002,10154,56.51,Oct-19
10/23/2019,60.794998,10154,56.68,Oct-19
10/24/2019,60.895,10154,56.85,Oct-19
10/25/2019,61.645,10154,57.08,Oct-19
10/28/2019,62.262501,10154,57.32,Oct-19
10/29/2019,60.822498,10154,57.51,Oct-19
10/30/2019,60.814999,10154,57.68,Oct-19
10/31/2019,62.189999,10154,57.91,Oct-19
11/1/2019,63.955002,10154,58.23,Nov-19
11/4/2019,64.375,10154,58.55,Nov-19
11/5/2019,64.282501,10154,58.88,Nov-19
11/6/2019,64.309998,10154,59.18,Nov-19
11/7/2019,64.857498,10154,59.51,Nov-19
11/8/2019,65.035004,10154,59.86,Nov-19
11/11/2019,65.550003,10154,60.18,Nov-19
11/12/2019,65.489998,10154,60.49,Nov-19
11/13/2019,66.1175,10154,60.87,Nov-19
11/14/2019,65.660004,10154,61.21,Nov-19
11/15/2019,66.440002,10154,61.54,Nov-19
11/18/2019,66.775002,10154,61.87,Nov-19
11/19/2019,66.572502,10154,62.22,Nov-19
11/20/2019,65.797501,10154,62.52,Nov-19
11/21/2019,65.502502,10154,62.79,Nov-19
11/22/2019,65.445,10154,63,Nov-19
11/25/2019,66.592499,10154,63.25,Nov-19
11/26/2019,66.072502,10154,63.5,Nov-19
11/27/2019,66.959999,10154,63.78,Nov-19
11/29/2019,66.8125,10154,64.04,Nov-19
12/2/2019,66.040001,10154,64.27,Dec
12/3/2019,64.862503,10154,64.43,Dec
12/4/2019,65.434998,10154,64.61,Dec
12/5/2019,66.394997,10154,64.8,Dec
12/6/2019,67.677498,10154,65.02,Dec
12/9/2019,66.730003,10154,65.19,Dec
12/10/2019,67.120003,10154,65.36,Dec
12/11/2019,67.692497,10154,65.59,Dec
12/12/2019,67.864998,10154,65.82,Dec
12/13/2019,68.787498,10154,66.04,Dec
12/16/2019,69.964996,10154,66.24,Dec
12/17/2019,70.102501,10154,66.43,Dec
12/18/2019,69.934998,10154,66.62,Dec
12/19/2019,70.004997,10154,66.81,Dec
12/20/2019,69.860001,10154,66.98,Dec
12/23/2019,71,10154,67.18,Dec
12/24/2019,71.067497,10154,67.36,Dec
12/26/2019,72.477501,10154,67.59,Dec
12/27/2019,72.449997,10154,67.8,Dec
12/30/2019,72.879997,10154,68.04,Dec
